city_name,area_name,city_id,area_id
浜松市中区,相生町,1220131,1220131101
浜松市中区,葵西一丁目,1220131,1220131102
浜松市中区,葵西二丁目,1220131,1220131103
浜松市中区,葵西三丁目,1220131,1220131104
浜松市中区,葵西四丁目,1220131,1220131105
浜松市中区,葵西五丁目,1220131,1220131106
浜松市中区,葵西六丁目,1220131,1220131107
浜松市中区,葵東一丁目,1220131,1220131108
浜松市中区,葵東二丁目,1220131,1220131109
浜松市中区,葵東三丁目,1220131,1220131110
浜松市中区,浅田町,1220131,1220131111
浜松市中区,旭町,1220131,1220131112
浜松市中区,小豆餅一丁目,1220131,1220131113
浜松市中区,小豆餅二丁目,1220131,1220131114
浜松市中区,小豆餅三丁目,1220131,1220131115
浜松市中区,小豆餅四丁目,1220131,1220131116
浜松市中区,池町,1220131,1220131117
浜松市中区,泉一丁目,1220131,1220131118
浜松市中区,泉二丁目,1220131,1220131119
浜松市中区,泉三丁目,1220131,1220131120
浜松市中区,泉四丁目,1220131,1220131121
浜松市中区,泉町,1220131,1220131122
浜松市中区,板屋町,1220131,1220131123
浜松市中区,瓜内町,1220131,1220131124
浜松市中区,海老塚一丁目,1220131,1220131125
浜松市中区,海老塚二丁目,1220131,1220131126
浜松市中区,海老塚町,1220131,1220131127
浜松市中区,尾張町,1220131,1220131128
浜松市中区,鍛冶町,1220131,1220131129
浜松市中区,春日町,1220131,1220131130
浜松市中区,上浅田一丁目,1220131,1220131131
浜松市中区,上浅田二丁目,1220131,1220131132
浜松市中区,上島一丁目,1220131,1220131133
浜松市中区,上島二丁目,1220131,1220131134
浜松市中区,上島三丁目,1220131,1220131135
浜松市中区,上島四丁目,1220131,1220131136
浜松市中区,上島五丁目,1220131,1220131137
浜松市中区,上島六丁目,1220131,1220131138
浜松市中区,上島七丁目,1220131,1220131139
浜松市中区,神田町,1220131,1220131140
浜松市中区,鴨江一丁目,1220131,1220131141
浜松市中区,鴨江二丁目,1220131,1220131142
浜松市中区,鴨江三丁目,1220131,1220131143
浜松市中区,鴨江四丁目,1220131,1220131144
浜松市中区,鴨江町,1220131,1220131145
浜松市中区,北田町,1220131,1220131146
浜松市中区,北寺島町,1220131,1220131147
浜松市中区,木戸町,1220131,1220131148
浜松市中区,元目町,1220131,1220131149
浜松市中区,紺屋町,1220131,1220131150
浜松市中区,幸一丁目,1220131,1220131151
浜松市中区,幸二丁目,1220131,1220131152
浜松市中区,幸三丁目,1220131,1220131153
浜松市中区,幸四丁目,1220131,1220131154
浜松市中区,幸五丁目,1220131,1220131155
浜松市中区,栄町,1220131,1220131156
浜松市中区,肴町,1220131,1220131157
浜松市中区,佐藤一丁目,1220131,1220131158
浜松市中区,佐藤二丁目,1220131,1220131159
浜松市中区,佐藤三丁目,1220131,1220131160
浜松市中区,佐鳴台一丁目,1220131,1220131161
浜松市中区,佐鳴台二丁目,1220131,1220131162
浜松市中区,佐鳴台三丁目,1220131,1220131163
浜松市中区,佐鳴台四丁目,1220131,1220131164
浜松市中区,佐鳴台五丁目,1220131,1220131165
浜松市中区,佐鳴台六丁目,1220131,1220131166
浜松市中区,塩町,1220131,1220131167
浜松市中区,鹿谷町,1220131,1220131168
浜松市中区,蜆塚一丁目,1220131,1220131169
浜松市中区,蜆塚二丁目,1220131,1220131170
浜松市中区,蜆塚三丁目,1220131,1220131171
浜松市中区,蜆塚四丁目,1220131,1220131172
浜松市中区,十軒町,1220131,1220131173
浜松市中区,下池川町,1220131,1220131174
